sample_id,estimated_amount_ratio,holding_ratio_after_trade,current_position_ratio,risk_preference_code,volatility_20d,abs_return_5d,turnover_rate,trade_volume_to_avg_volume,concentration_risk,volatility_risk,liquidity_risk
S000001,0.02924054,0.13273109,0.10349056,0,0.262316,0.193264,0.027732,0.0301167,0,1,0
S000002,0.24130637,0.38517026,0.14386389,1,0.148245,0.093438,0.119001,0.2534838,1,0,1
S000003,0.25741538,0.28639283,0.02897745,1,0.558964,0.088368,0.029357,0.01557731,0,1,0
S000004,0.43467322,0.45609558,0.02142235,1,0.148512,0.097181,0.018068,0.05526718,1,0,0
S000005,0.26179606,0.31943879,0.05764272,1,0.250133,0.114595,0.066692,0.03886172,1,0,0
S000006,0.4960673,0.5442031,0.0481358,2,0.203699,0.136795,0.003925,0.06535035,1,0,0
S000007,0.01006999,0.14435265,0.13428266,1,0.25521,0.127477,0.005768,0.29786858,0,0,1
S000008,0.43896428,0.50312292,0.06415864,1,0.590821,0.168489,0.026118,0.08896133,1,1,0
S000009,0.39432484,0.5608748,0.16654996,2,0.214369,0.059315,0.028382,0.00991113,1,0,0
S000010,0.26387268,0.29798489,0.03411222,0,0.382026,0.020563,0.091562,0.09499472,1,1,0
S000011,0.26578684,0.40151681,0.13572996,1,0.34366,0.110235,0.053442,0.26023804,1,0,1
S000012,0.46962711,0.5479317,0.07830459,1,0.432572,0.160006,0.030505,0.05536315,1,1,0
S000013,0.01319816,0.07906733,0.06586917,1,0.14423,0.118753,0.091248,0.07037504,0,0,0
S000014,0.37847893,0.39549411,0.01701519,1,0.127394,0.053471,0.031224,0.25716697,1,0,1
S000015,0.19627261,0.25010333,0.05383072,2,0.172694,0.08601,0.097169,0.05084552,0,0,0
S000016,0.10063184,0.15556413,0.05493229,1,0.207034,0.10271,0.043988,0.03046327,0,0,0
S000017,0.12661508,0.25357933,0.12696424,1,0.31826,0.060463,0.078915,0.12487558,0,0,1
S000018,0.10954401,0.15701492,0.04747091,1,0.583485,0.106235,0.102068,0.18296666,0,1,1
S000019,0.05120164,0.12669106,0.07548943,0,0.218265,0.05207,0.114197,0.06912621,0,0,0
S000020,0.10875819,0.21822118,0.10946299,0,0.289701,0.079753,0.004886,0.02572995,1,0,0
S000021,0.12723917,0.14377312,0.01653395,0,0.62284,0.041956,0.040077,0.15202013,0,1,1
S000022,0.4826201,0.51338892,0.03076882,1,0.106819,0.119924,0.066217,0.07342191,1,0,0
S000023,0.22324063,0.28679377,0.06355314,1,0.277735,0.140353,0.054146,0.08475533,0,0,0
S000024,0.51082866,0.53669741,0.02586876,1,0.30925,0.189973,0.002667,0.08425576,1,1,0
S000025,0.08752994,0.11233978,0.02480985,1,0.264512,0.023552,0.064522,0.0893914,0,0,0
S000026,0.06853318,0.13014315,0.06160997,2,0.327752,0.029092,0.086064,0.05442176,0,0,0
S000027,0.49369807,0.54822706,0.05452899,1,0.287917,0.000464,0.035986,0.07373093,1,0,0
S000028,0.08178088,0.17272663,0.09094575,1,0.323383,0.063307,0.053914,0.08326132,0,0,0
S000029,0.34382276,0.47286337,0.12904061,1,0.279254,0.11269,0.032928,0.03221486,1,0,0
S000030,0.15376791,0.23293392,0.07916602,0,0.390865,0.115588,0.038507,0.02083973,1,1,0
S000031,0.09338106,0.21430742,0.12092636,1,0.579041,0.08409,0.026845,0.08093232,0,1,0
S000032,0.04495707,0.10119274,0.05623568,2,0.423484,0.1407,0.056413,0.08445093,0,1,0
S000033,0.23699483,0.26203699,0.02504216,1,0.225503,0.019103,0.042524,0.07873826,0,0,0
S000034,0.35304396,0.45809837,0.1050544,1,0.167346,0.107789,0.058525,0.20165863,1,0,1
S000035,0.06280268,0.17056032,0.10775765,1,0.267987,0.080837,0.023787,0.03107364,0,0,0
S000036,0.23916304,0.34243841,0.10327536,1,0.2839,0.225833,0.078818,0.21423183,1,1,1
S000037,0.05650957,0.20293929,0.14642972,1,0.16013,0.005971,0.04917,0.03412472,0,0,0
S000038,0.33075409,0.38611836,0.05536427,0,0.28181,0.02213,0.101331,0.12300825,1,0,1
S000039,0.14383932,0.15482646,0.01098714,0,0.243047,0.112762,0.036641,0.03034204,0,0,0
S000040,0.15614852,0.20345349,0.04730497,1,0.265477,0.095818,0.105639,0.07109496,0,0,0
S000041,0.0901642,0.15520525,0.06504105,0,0.160541,0.138591,0.034358,0.06963852,0,0,0
S000042,0.05184717,0.10265787,0.05081069,1,0.133902,0.263524,0.03991,0.21000557,0,1,1
S000043,0.17403945,0.22676548,0.05272603,2,0.55468,0.006902,0.109636,0.01186147,0,1,0
S000044,0.34417452,0.36103339,0.01685887,1,0.245416,0.140167,0.045484,0.24261897,1,0,1
S000045,0.1015795,0.17165964,0.07008015,0,0.344049,0.104993,0.075845,0.03330608,0,0,0
S000046,0.11587739,0.23210422,0.11622682,1,0.164295,0.24772,0.06257,0.0220637,0,1,0
S000047,0.23389479,0.24910013,0.01520534,1,0.340183,0.011766,0.033113,0.07259817,0,0,0
S000048,0.38128745,0.38412914,0.0028417,0,0.172853,0.011236,0.046915,0.08862507,1,0,0
S000049,0.02247641,0.14298503,0.12050863,1,0.342579,0.055607,0.081225,0.26551771,0,0,1
S000050,0.28133014,0.29050194,0.0091718,0,0.264025,0.0963,0.086823,0.0365897,1,0,0
S000051,0.02150821,0.0968418,0.07533359,0,0.334347,0.101736,0.06684,0.06736764,0,0,0
S000052,0.07100097,0.13283145,0.06183047,0,0.142853,0.141495,0.03919,0.01027359,0,0,0
S000053,0.01843501,0.12380893,0.10537392,1,0.315508,0.117242,0.02193,0.14614284,0,0,1
S000054,0.20605652,0.35117524,0.14511873,1,0.24157,0.077242,0.100937,0.02913696,1,0,0
S000055,0.36230512,0.36546796,0.00316285,2,0.235945,0.094977,0.053706,0.07349088,0,0,0
S000056,0.04498579,0.10082863,0.05584284,1,0.513452,0.138554,0.010409,0.02302143,0,1,0
S000057,0.30015692,0.33651984,0.03636292,0,0.375689,0.068272,0.074088,0.05977083,1,1,0
S000058,0.34220267,0.39629692,0.05409425,1,0.278301,0.116642,0.117602,0.02283804,1,0,0
S000059,0.16484869,0.26170593,0.09685724,1,0.21565,0.141509,0.00327,0.26611097,0,0,1
S000060,0.16909327,0.20156192,0.03246865,0,0.158361,0.049263,0.057213,0.0901805,1,0,0
S000061,0.10921655,0.11569226,0.0064757,1,0.50265,0.0209,0.027615,0.08620004,0,1,0
S000062,0.32101006,0.4416706,0.12066054,1,0.54699,0.186654,0.045522,0.05880093,1,1,0
S000063,0.04308159,0.16949277,0.12641118,2,0.114424,0.016224,0.093891,0.01726475,0,0,0
S000064,0.15992199,0.25209422,0.09217223,0,0.166983,0.204647,0.035263,0.06727555,1,1,0
S000065,0.44373337,0.49151111,0.04777774,1,0.282576,0.030942,0.107181,0.17880244,1,0,1
S000066,0.10766678,0.19311852,0.08545174,2,0.37679,0.112236,0.017882,0.23505539,0,1,1
S000067,0.3724039,0.45444779,0.08204389,1,0.139133,0.03436,0.118015,0.03666894,1,0,0
S000068,0.48783007,0.53204235,0.04421227,2,0.229903,0.014066,0.044785,0.06325366,1,0,0
S000069,0.29201309,0.34401837,0.05200529,2,0.117379,0.128124,0.009691,0.18616493,0,0,1
S000070,0.51181821,0.51346543,0.00164722,2,0.277177,0.124969,0.078199,0.09039996,1,0,0
S000071,0.15773548,0.27181224,0.11407676,1,0.304844,0.075645,0.079707,0.17988106,0,0,1
S000072,0.24573105,0.29673909,0.05100804,2,0.123242,0.24251,0.107443,0.06967948,0,1,0
S000073,0.31259247,0.38487148,0.07227901,0,0.277687,0.132431,0.101222,0.03987964,1,0,0
S000074,0.25104478,0.26179226,0.01074748,0,0.214365,0.046664,0.011687,0.05558477,1,0,0
S000075,0.05859351,0.16694344,0.10834993,1,0.331804,0.152719,0.029637,0.01797536,0,1,0
S000076,0.24740102,0.28716463,0.03976361,1,0.276856,0.081143,0.05612,0.046619,0,0,0
S000077,0.22803403,0.35764549,0.12961146,1,0.457364,0.009213,0.095954,0.05847421,1,1,0
S000078,0.30706152,0.40679704,0.09973552,0,0.128234,0.027272,0.044275,0.05815571,1,0,0
S000079,0.12124581,0.21431223,0.09306642,0,0.413267,0.030286,0.068452,0.1645442,1,1,1
S000080,0.31081141,0.44145582,0.13064442,2,0.173846,0.113369,0.069865,0.26032482,1,0,1
S000081,0.47401118,0.52255075,0.04853957,1,0.167706,0.047913,0.014015,0.02960049,1,0,0
S000082,0.51841687,0.53494907,0.0165322,1,0.263837,0.01277,0.074956,0.08546973,1,0,0
S000083,0.2215892,0.22324485,0.00165566,2,0.157813,0.012909,0.01463,0.08225967,0,0,0
S000084,0.17118774,0.28521966,0.11403192,2,0.252085,0.031114,0.100474,0.0413041,0,0,0
S000085,0.07840002,0.20235778,0.12395776,1,0.124967,0.107795,0.077805,0.01997408,0,0,0
S000086,0.04623767,0.20615674,0.15991907,1,0.204252,0.059113,0.052286,0.02595014,0,0,0
S000087,0.40346594,0.41273928,0.00927333,0,0.242364,0.096465,0.096139,0.20708199,1,0,1
S000088,0.19533283,0.22001906,0.02468624,0,0.315702,0.026246,0.098151,0.27326598,1,0,1
S000089,0.12327505,0.26800679,0.14473174,1,0.167111,0.204539,0.071401,0.00594047,0,1,0
S000090,0.04333169,0.12124118,0.07790949,0,0.20462,0.192169,0.104275,0.07100602,0,1,0
S000091,0.07722036,0.10140297,0.02418261,0,0.222925,0.082095,0.069513,0.26369607,0,0,1
S000092,0.2128009,0.3763913,0.16359039,1,0.294499,0.140681,0.086905,0.04570141,1,0,0
S000093,0.4123327,0.42400207,0.01166937,2,0.36684,0.058916,0.038918,0.01887936,1,1,0
S000094,0.22997634,0.25897991,0.02900357,2,0.320204,0.079047,0.07302,0.05857174,0,0,0
S000095,0.3729028,0.51477271,0.1418699,1,0.62219,0.013731,0.075721,0.02561576,1,1,0
S000096,0.0551178,0.10652999,0.05141218,0,0.637115,0.174151,0.102796,0.08547598,0,1,0
S000097,0.23124186,0.3036976,0.07245574,2,0.541499,0.111041,0.070263,0.02244056,0,1,0
S000098,0.20938743,0.25172,0.04233258,1,0.111964,0.008815,0.10566,0.01739384,0,0,0
S000099,0.05902287,0.1173291,0.05830624,0,0.121463,0.045137,0.102134,0.16685269,0,0,1
S000100,0.18074886,0.24883349,0.06808463,0,0.261826,0.038684,0.119388,0.0738177,1,0,0
S000101,0.46297126,0.47735955,0.01438829,1,0.324309,0.125302,0.093208,0.2662622,1,0,1
S000102,0.01485609,0.16937904,0.15452296,1,0.322631,0.059954,0.053594,0.16677425,0,0,1
S000103,0.05315075,0.13890973,0.08575898,0,0.164546,0.09088,0.097558,0.05845967,0,0,0
S000104,0.42228582,0.47113285,0.04884703,1,0.263986,0.15491,0.049465,0.08104044,1,1,0
S000105,0.15437638,0.21950216,0.06512578,2,0.261563,0.117879,0.045546,0.05756451,0,0,0
