sample_id,user_id,total_asset,cash_available,risk_preference,current_stock_position_value,action,market,stock_code,trade_time,volume_lot,volume_share,estimated_price,estimated_amount,volatility_20d,return_5d,abs_return_5d,avg_volume_20d,turnover_rate,estimated_amount_ratio,current_position_ratio,holding_ratio_after_trade,trade_volume_to_avg_volume,concentration_risk,volatility_risk,liquidity_risk,overall_risk_level,risk_preference_code,trade_hour
S000057,U0130,728759.0,264292.04,conservative,26499.8,buy,SZSE,537874,2026-01-05 11:47:00,51,5100,42.8906,218742.06,1.5871914686219761,0.068272,0.7743473264134076,85325.91,1.9197125720418462,1.495433989916228,0.6294250095253543,1.563047287443701,0.5827978731680734,1,1,0,medium_high,0.0,11
S000486,U0113,1484363.0,85761.74,moderate,89189.77,buy,SZSE,981852,2026-01-05 09:53:00,15,1500,43.6989,65548.35,1.9220026780508208,-0.121083,1.3736857109722431,20057.72,1.3175977539918051,0.17840829144031425,1.051290905129479,0.3833630446751273,0.7431139975407229,0,1,0,medium,1.5707963267948966,9
S000151,U0017,719518.0,193067.18,conservative,23783.03,buy,SZSE,504664,2026-01-05 10:19:00,20,2000,76.0255,152051.0,0.12573353890371974,-0.084518,0.9587189799617752,31249.11,3.141592653589793,1.0384141445566313,0.5705852399470837,1.09507128475646,0.6279774680236341,1,0,0,medium,0.0,10
S000112,U0068,1964438.0,405332.19,moderate,254215.42,buy,SZSE,876748,2026-01-05 11:58:00,86,8600,37.1868,319806.48,0.5215389396456785,-0.021732,0.24617689946886562,1373963.2,0.3233604265735686,0.7887662557677801,2.284036012340824,1.3379878097401339,0.01138908071025651,0,0,0,low,1.5707963267948966,11
S000293,U0117,991547.0,98520.12,moderate,53500.54,buy,SZSE,52346,2026-01-05 10:56:00,55,5500,13.1773,72475.15,0.43846561163203035,-0.133555,1.5152272142995387,271727.77,2.7666939928006324,0.32726318325840953,0.9422898856665083,0.49918176379775714,0.16068762002498338,0,0,0,low,1.5707963267948966,10
S000130,U0161,1123813.0,231333.42,aggressive,193326.76,buy,SZSE,995495,2026-01-05 11:05:00,23,2300,73.2875,168561.25,1.2238018359064275,-0.242914,2.756314230204742,76806.42,1.1675956299892576,0.7228759407408532,3.0419158457862014,1.4893947697804264,0.26431515229902713,0,1,0,medium,3.141592653589793,11
S000150,U0074,1748546.0,135025.9,conservative,184872.64,buy,SZSE,308323,2026-01-05 11:06:00,39,3900,27.7394,108183.66,0.20549384405651017,0.025567,0.2896993229182064,107226.98,3.1310877056948407,0.26952769805729365,1.8629516689784311,0.7051305334816145,0.3329337842842974,0,0,0,low,0.0,11
S000321,U0183,1617485.0,261290.72,moderate,92512.48,buy,SZSE,178652,2026-01-05 12:16:00,27,2700,73.1134,197406.18,1.1771314269099964,0.099342,1.1269527231724734,34048.16,0.34221067571501923,0.5791061520054833,0.9998814834166295,0.7642502566758839,0.7913287727417679,0,0,0,low,1.5707963267948966,12
S000420,U0071,464386.0,142820.57,aggressive,20313.81,buy,SZSE,741796,2026-01-05 12:16:00,136,13600,7.5527,102716.72,2.4258356711722975,0.004484,0.05043380699057896,52743.83,0.06953528961938217,1.0891655229621306,0.7606699482742227,1.1994621579320268,2.697933623747466,0,1,1,medium_high,3.141592653589793,12
S000484,U0131,1514581.0,479445.52,moderate,71284.92,buy,SZSE,194495,2026-01-05 09:31:00,188,18800,18.478,347386.4,1.184224176721676,-0.121553,1.379019619452345,304237.3,2.897632569227314,1.1312137517116283,0.8197512077146712,1.2578462112262336,0.6044003613686392,0,0,0,low,1.5707963267948966,9
S000555,U0048,964662.0,278438.85,moderate,132305.03,buy,SZSE,951287,2026-01-05 10:16:00,70,7000,35.2007,246404.9,2.9106547939618945,0.109061,1.2372511412961091,85374.15,1.5881934803518931,1.2653352104644566,2.421727378920187,1.847783179937988,0.8200809772107073,1,1,0,medium_high,1.5707963267948966,10
S000425,U0039,733505.0,184537.0,moderate,55706.44,buy,SZSE,13841,2026-01-05 10:07:00,42,4200,31.5907,132680.94,0.5390893181398922,0.262657,2.980372432593356,772701.22,3.0877614612042366,0.8818245373557099,1.33331354253258,1.1583243706809125,0.002592460893177266,0,1,0,medium,1.5707963267948966,10
