sample_id,user_id,total_asset,cash_available,risk_preference,current_stock_position_value,action,market,stock_code,trade_time,volume_lot,volume_share,estimated_price,estimated_amount,volatility_20d,return_5d,abs_return_5d,avg_volume_20d,turnover_rate,estimated_amount_ratio,current_position_ratio,holding_ratio_after_trade,trade_volume_to_avg_volume,concentration_risk,volatility_risk,liquidity_risk,overall_risk_level,risk_preference_code,trade_hour
S000001,U0132,677136.0,27362.24,conservative,70077.18,buy,SZSE,347602,2026-01-05 10:09:00,3,300,65.9994,19799.82,0.262316,0.193264,0.193264,9961.25,0.027732,0.02924054,0.10349056,0.13273109,0.0301167,0,1,0,medium,0,10
S000002,U0196,513683.0,156275.36,moderate,73900.43,buy,SZSE,459604,2026-01-05 11:48:00,94,9400,13.1867,123954.98,0.148245,-0.093438,0.093438,37083.24,0.119001,0.24130637,0.14386389,0.38517026,0.2534838,1,0,1,medium_high,1,11
S000003,U0163,438757.0,123719.01,moderate,12714.06,buy,SZSE,989098,2026-01-05 11:58:00,15,1500,75.2952,112942.8,0.558964,0.088368,0.088368,96293.93,0.029357,0.25741538,0.02897745,0.28639283,0.01557731,0,1,0,medium,1,11
S000004,U0119,868240.0,491924.87,moderate,18599.75,buy,SZSE,872930,2026-01-05 12:24:00,68,6800,55.5001,377400.68,0.148512,0.097181,0.097181,123038.65,0.018068,0.43467322,0.02142235,0.45609558,0.05526718,1,0,0,medium,1,12
S000005,U0005,1857038.0,603666.24,moderate,107044.73,buy,SZSE,440749,2026-01-05 10:45:00,594,59400,8.1846,486165.24,0.250133,-0.114595,0.114595,1528496.57,0.066692,0.26179606,0.05764272,0.31943879,0.03886172,1,0,0,medium,1,10
S000006,U0004,1486867.0,1087068.34,aggressive,71571.53,buy,SZSE,709787,2026-01-05 11:34:00,1145,114500,6.4418,737586.1,0.203699,-0.136795,0.136795,1752094.71,0.003925,0.4960673,0.0481358,0.5442031,0.06535035,1,0,0,medium,2,11
S000007,U0141,648963.0,9698.78,moderate,87144.48,buy,SSE,664451,2026-01-05 09:42:00,1,100,65.3505,6535.05,0.25521,0.127477,0.127477,335.72,0.005768,0.01006999,0.13428266,0.14435265,0.29786858,0,0,1,medium,1,9
S000008,U0003,918609.0,410689.29,moderate,58936.71,buy,SZSE,395688,2026-01-05 11:23:00,79,7900,51.0426,403236.54,0.590821,-0.168489,0.168489,88802.63,0.026118,0.43896428,0.06415864,0.50312292,0.08896133,1,1,0,medium_high,1,11
S000009,U0171,1597991.0,838619.12,aggressive,266145.33,buy,SZSE,434777,2026-01-05 12:00:00,115,11500,54.7937,630127.55,0.214369,-0.059315,0.059315,1160311.26,0.028382,0.39432484,0.16654996,0.5608748,0.00991113,1,0,0,medium,2,12
S000010,U0062,1980542.0,755474.13,conservative,67560.68,buy,SZSE,589652,2026-01-05 12:26:00,78,7800,67.0014,522610.92,0.382026,-0.020563,0.020563,82109.83,0.091562,0.26387268,0.03411222,0.29798489,0.09499472,1,1,0,medium_high,0,12
S000011,U0196,646843.0,208562.03,moderate,87795.98,buy,SZSE,907068,2026-01-05 11:15:00,34,3400,50.5654,171922.36,0.34366,-0.110235,0.110235,13064.96,0.053442,0.26578684,0.13572996,0.40151681,0.26023804,1,0,1,medium_high,1,11
S000012,U0136,1147057.0,663633.92,moderate,89819.83,buy,SZSE,842507,2026-01-05 10:27:00,117,11700,46.0418,538689.06,0.432572,0.160006,0.160006,211331.89,0.030505,0.46962711,0.07830459,0.5479317,0.05536315,1,1,0,medium_high,1,10
S000013,U0122,428596.0,5957.29,moderate,28231.26,buy,SZSE,065511,2026-01-05 10:58:00,1,100,56.5668,5656.68,0.14423,0.118753,0.118753,1420.96,0.091248,0.01319816,0.06586917,0.07906733,0.07037504,0,0,0,low,1,10
S000014,U0117,1681812.0,873978.58,moderate,28616.34,buy,SZSE,842518,2026-01-05 10:01:00,141,14100,45.144,636530.4,0.127394,0.053471,0.053471,54828.19,0.031224,0.37847893,0.01701519,0.39549411,0.25716697,1,0,1,medium_high,1,10
S000015,U0076,390740.0,84760.49,aggressive,21033.82,buy,SZSE,525132,2026-01-05 10:41:00,11,1100,69.7196,76691.56,0.172694,0.08601,0.08601,21634.16,0.097169,0.19627261,0.05383072,0.25010333,0.05084552,0,0,0,low,2,10
S000016,U0105,1332466.0,160410.36,moderate,73195.41,buy,SZSE,886610,2026-01-05 11:31:00,98,9800,13.6825,134088.5,0.207034,0.10271,0.10271,321698.93,0.043988,0.10063184,0.05493229,0.15556413,0.03046327,0,0,0,low,1,11
S000017,U0152,1279797.0,192897.63,moderate,162488.46,buy,SZSE,338107,2026-01-05 10:55:00,28,2800,57.872,162041.6,0.31826,-0.060463,0.060463,22422.32,0.078915,0.12661508,0.12696424,0.25357933,0.12487558,0,0,1,medium,1,10
S000018,U0132,1859302.0,258620.28,moderate,88262.76,buy,SZSE,375924,2026-01-05 12:29:00,90,9000,22.6306,203675.4,0.583485,0.106235,0.106235,49189.29,0.102068,0.10954401,0.04747091,0.15701492,0.18296666,0,1,1,medium_high,1,12
S000019,U0005,1188279.0,66221.17,conservative,89702.5,buy,SSE,682880,2026-01-05 10:37:00,21,2100,28.9723,60841.83,0.218265,-0.05207,0.05207,30379.21,0.114197,0.05120164,0.07548943,0.12669106,0.06912621,0,0,0,low,0,10
S000020,U0024,1093006.0,137707.38,conservative,119643.7,buy,SZSE,561952,2026-01-05 11:24:00,85,8500,13.9851,118873.35,0.289701,-0.079753,0.079753,330354.31,0.004886,0.10875819,0.10946299,0.21822118,0.02572995,1,0,0,medium,0,11
S000021,U0045,599867.0,80621.51,conservative,9918.17,buy,SZSE,339637,2026-01-05 10:06:00,11,1100,69.3878,76326.58,0.62284,-0.041956,0.041956,7235.88,0.040077,0.12723917,0.01653395,0.14377312,0.15202013,0,1,1,medium_high,0,10
