risk,features,scale,reps,entanglement,architecture,C,class_weight,threshold,cv_f1,cv_roc_auc,offdiag_mean,offdiag_std,offdiag_max,effective_rank,kernel_seconds,cache_hit
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",0.125,1,linear,risk_specific,10.0,,-0.29304785044405907,0.992,0.9998633132859486,0.3336540754666379,0.2934640891824848,0.9999635450418288,7.869187931141302,26.579734561033547,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",0.125,2,linear,risk_specific,10.0,,-0.1816066734830684,0.9836065573770492,0.9990431930016402,0.2641531701675789,0.27153613127126935,0.9999397640816755,11.667443384111879,48.869173496961594,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",0.25,1,linear,risk_specific,1.0,balanced,-0.28763223877047667,0.9763779527559056,0.9989065062875888,0.12682451769478978,0.20117968974764322,0.9998656798412586,24.38571147369295,26.461313717998564,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",0.25,2,linear,risk_specific,1.0,,-0.19027830980408864,0.9672131147540983,0.9982230727173319,0.10558226513093746,0.16713920014825845,0.9996053697424211,36.37807681743794,49.11715335585177,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",0.5,1,linear,risk_specific,1.0,,-0.4306320102773029,0.8854961832061069,0.9492892290869327,0.07576175679476387,0.13022630312171293,0.9995471087767809,52.58370685738242,25.89011235302314,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",0.5,2,linear,risk_specific,1.0,,-0.2641734347158829,0.819672131147541,0.9101968288682339,0.08450831119685526,0.11714302291159534,0.9993219369614562,63.096525770939635,48.464108812622726,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",1.0,1,linear,risk_specific,1.0,balanced,-0.27712087092961635,0.6666666666666666,0.7717331875341717,0.07541516669620389,0.12314815997022618,0.9987414710906883,58.40346966386394,26.33110095374286,True
concentration_risk,"[""estimated_amount_ratio"", ""holding_ratio_after_trade"", ""current_position_ratio"", ""risk_preference_code""]",1.0,2,linear,risk_specific,100.0,,0.03313448728651339,0.6610169491525424,0.7651722252597047,0.08399080129852775,0.11258050663404895,0.9969273139987792,68.12695562055038,48.479240853339434,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",0.125,1,linear,risk_specific,100.0,,0.00022807767183394745,0.943089430894309,0.9894751230180427,0.7039352106548029,0.28323017748368984,0.9999820524576497,2.1638636354661966,11.546098834834993,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",0.125,2,linear,risk_specific,100.0,,0.3348403998305957,0.95,0.9874248223072717,0.7088212773858912,0.27659961583575654,0.999986552001336,2.1659586385666705,20.633048604242504,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",0.25,1,linear,risk_specific,100.0,,-0.16341309690039857,0.9508196721311475,0.9967195188627666,0.46849207356310923,0.337308785630702,0.9999284283959815,3.880783774307484,13.64879707293585,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",0.25,2,linear,risk_specific,10.0,,0.16379694166353034,0.95,0.9848277747402953,0.4539329741043247,0.33862802523325697,0.999967160326346,4.155934411358098,21.26803841115907,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",0.5,1,linear,risk_specific,100.0,,0.10650573390207811,0.9491525423728814,0.9829141607435757,0.32721357957526404,0.26885552203850166,0.9997127760092921,7.52187052871364,12.021981285884976,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",0.5,2,linear,risk_specific,100.0,balanced,0.08837356238894219,0.9666666666666667,0.9904319300164024,0.4046302000681412,0.29418312963259685,0.9997768712363876,6.065533501574822,21.289333356078714,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",1.0,1,linear,risk_specific,10.0,,-0.4504826241959886,0.8305084745762712,0.8984417714598143,0.25705452184750244,0.22667552175579464,0.9988006812375197,10.441540050219096,12.24842806532979,True
volatility_risk,"[""volatility_20d"", ""abs_return_5d""]",1.0,2,linear,risk_specific,1.0,balanced,-0.645207539830005,0.7092198581560284,0.7751503553854565,0.3465254416000782,0.2487642526903311,0.9995867382023089,8.74118825442789,20.390419621951878,True
liquidity_risk,"[""turnover_rate"", ""trade_volume_to_avg_volume""]",0.125,1,linear,risk_specific,10.0,,-0.7357593787365092,0.9873417721518988,1.0,0.7075444626817003,0.2745032619571583,0.9999979167850914,2.1782494819308567,11.609535097144544,True
liquidity_risk,"[""turnover_rate"", ""trade_volume_to_avg_volume""]",0.125,2,linear,risk_specific,100.0,balanced,-0.17315665469808228,0.9620253164556962,0.9983633387888707,0.7103424441852926,0.27047582923145913,0.9999977670460342,2.183451148282054,21.122030133381486,True
